Tue Jun  9 09:00:01 UTC 2020
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
2 %, 1 %, 11019 MiB, 36 MiB, 10983 MiB
97 %, 44 %, 11019 MiB, 36 MiB, 10983 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
30 %, 19 %, 11019 MiB, 100 MiB, 10919 MiB
36 %, 23 %, 11019 MiB, 91 MiB, 10928 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
Tue Jun  9 09:30:01 UTC 2020
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
11 %, 9 %, 11019 MiB, 36 MiB, 10983 MiB
97 %, 44 %, 11019 MiB, 36 MiB, 10983 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
35 %, 23 %, 11019 MiB, 100 MiB, 10919 MiB
36 %, 23 %, 11019 MiB, 91 MiB, 10928 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
Tue Jun  9 10:00:01 UTC 2020
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
0 %, 0 %, 11019 MiB, 36 MiB, 10983 MiB
98 %, 43 %, 11019 MiB, 36 MiB, 10983 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
0 %, 0 %, 11019 MiB, 100 MiB, 10919 MiB
32 %, 21 %, 11019 MiB, 91 MiB, 10928 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
Tue Jun  9 10:30:01 UTC 2020
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
32 %, 22 %, 11019 MiB, 36 MiB, 10983 MiB
93 %, 42 %, 11019 MiB, 36 MiB, 10983 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
29 %, 17 %, 11019 MiB, 100 MiB, 10919 MiB
26 %, 16 %, 11019 MiB, 91 MiB, 10928 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
Tue Jun  9 11:00:01 UTC 2020
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
23 %, 15 %, 11019 MiB, 36 MiB, 10983 MiB
97 %, 43 %, 11019 MiB, 36 MiB, 10983 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
35 %, 23 %, 11019 MiB, 100 MiB, 10919 MiB
30 %, 19 %, 11019 MiB, 91 MiB, 10928 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
Tue Jun  9 11:30:01 UTC 2020
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
21 %, 13 %, 11019 MiB, 36 MiB, 10983 MiB
96 %, 43 %, 11019 MiB, 36 MiB, 10983 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
23 %, 15 %, 11019 MiB, 100 MiB, 10919 MiB
35 %, 22 %, 11019 MiB, 91 MiB, 10928 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
Tue Jun  9 12:00:01 UTC 2020
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
0 %, 0 %, 11019 MiB, 36 MiB, 10983 MiB
96 %, 42 %, 11019 MiB, 36 MiB, 10983 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
35 %, 23 %, 11019 MiB, 100 MiB, 10919 MiB
4 %, 3 %, 11019 MiB, 91 MiB, 10928 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
Tue Jun  9 12:30:01 UTC 2020
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
14 %, 10 %, 11019 MiB, 36 MiB, 10983 MiB
97 %, 44 %, 11019 MiB, 36 MiB, 10983 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
28 %, 19 %, 11019 MiB, 100 MiB, 10919 MiB
34 %, 21 %, 11019 MiB, 91 MiB, 10928 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
Tue Jun  9 13:00:01 UTC 2020
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
0 %, 0 %, 11019 MiB, 36 MiB, 10983 MiB
93 %, 42 %, 11019 MiB, 36 MiB, 10983 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
35 %, 23 %, 11019 MiB, 100 MiB, 10919 MiB
6 %, 5 %, 11019 MiB, 91 MiB, 10928 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
Tue Jun  9 13:30:01 UTC 2020
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
32 %, 21 %, 11019 MiB, 36 MiB, 10983 MiB
97 %, 43 %, 11019 MiB, 36 MiB, 10983 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
26 %, 16 %, 11019 MiB, 100 MiB, 10919 MiB
36 %, 23 %, 11019 MiB, 91 MiB, 10928 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
0 %, 0 %, 11019 MiB, 11019 MiB, 0 MiB
Tue Jun  9 14:00:01 UTC 2020
